id,filename,label,width,height,area,box,fold
F_00001,PennFudanPed/PNGImages/FudanPed00001.png,PASpersonWalking,559,536,35791.5,"[160, 182, 302, 431]",0
F_00001,PennFudanPed/PNGImages/FudanPed00001.png,PASpersonWalking,559,536,35791.5,"[420, 171, 535, 486]",0
F_00002,PennFudanPed/PNGImages/FudanPed00002.png,PASpersonWalking,455,414,35301.0,"[68, 93, 191, 380]",0
F_00003,PennFudanPed/PNGImages/FudanPed00003.png,PASpersonWalking,479,445,44044.0,"[293, 135, 447, 421]",0
F_00004,PennFudanPed/PNGImages/FudanPed00004.png,PASpersonWalking,396,397,24004.5,"[168, 60, 324, 338]",0
F_00004,PennFudanPed/PNGImages/FudanPed00004.png,PASpersonWalking,396,397,24004.5,"[9, 61, 48, 180]",0
P_00001,PennFudanPed/PNGImages/PennPed00001.png,PASpersonWalking,612,406,24288.0,"[83, 66, 197, 353]",1
P_00001,PennFudanPed/PNGImages/PennPed00001.png,PASpersonWalking,612,406,24288.0,"[265, 75, 355, 338]",1
P_00001,PennFudanPed/PNGImages/PennPed00001.png,PASpersonWalking,612,406,24288.0,"[403, 38, 501, 348]",1
P_00001,PennFudanPed/PNGImages/PennPed00001.png,PASpersonWalking,612,406,24288.0,"[514, 65, 610, 318]",1
P_00001,PennFudanPed/PNGImages/PennPed00001.png,PASpersonStanding,612,406,24288.0,"[206, 25, 266, 196]",1
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,21287.0,"[9, 84, 97, 304]",1
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,21287.0,"[83, 45, 165, 298]",1
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,21287.0,"[268, 84, 370, 298]",1
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,21287.0,"[363, 33, 516, 335]",1
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,21287.0,"[576, 75, 713, 362]",1
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,21287.0,"[517, 92, 608, 300]",1
P_00003,PennFudanPed/PNGImages/PennPed00003.png,PASpersonWalking,670,418,37700.0,"[8, 33, 174, 365]",1
P_00003,PennFudanPed/PNGImages/PennPed00003.png,PASpersonWalking,670,418,37700.0,"[452, 64, 531, 353]",1
P_00003,PennFudanPed/PNGImages/PennPed00003.png,PASpersonWalking,670,418,37700.0,"[531, 91, 661, 381]",1
P_00004,PennFudanPed/PNGImages/PennPed00004.png,PASpersonWalking,786,436,28812.0,"[67, 61, 170, 410]",1
P_00004,PennFudanPed/PNGImages/PennPed00004.png,PASpersonWalking,786,436,28812.0,"[155, 91, 253, 385]",1
P_00004,PennFudanPed/PNGImages/PennPed00004.png,PASpersonWalking,786,436,28812.0,"[228, 94, 325, 391]",1
P_00004,PennFudanPed/PNGImages/PennPed00004.png,PASpersonWalking,786,436,28812.0,"[417, 101, 516, 391]",1
P_00004,PennFudanPed/PNGImages/PennPed00004.png,PASpersonWalking,786,436,28812.0,"[595, 112, 734, 397]",1
